pmcid	doi	journal	year	server_named	evidence_sentence
PMC13149334	10.1038/s41586-026-10391-0	Nature	2026	True	AlphaFold2 and AlphaFold3 predictions Structure predictions were done with AlphaFold2 implemented in a google colab notebook 70 available online ( https://colab.research.google.com/github/sokrypton/ColabFold/blob/main/AlphaFold2.ipynb.Predictions ); predictions using AlphaFold3 71 were done at https://alphafoldserver.com/ .
PMC13190245	10.1038/s41586-026-10416-8	Nature	2026	False	AlphaFold3-based structure prediction The structures of peptide–HLA-A*11:01 complexes for the low-risk peptide VVILENVGQ (85841A encoded) and the high-risk peptide VVILENVSR (85841G encoded) were predicted using the AlphaFold3 public web server 94 .
PMC13171457	10.1038/s41586-026-10255-7	Nature	2026	False	An AlphaFold3 model of apo Sp Cas9 was used to fill in regions that were previously unmodelled, including residues 512–573, 611–678 and 685–730.
PMC13083262	10.1038/s41586-026-10232-0	Nature	2026	False	AlphaFold3 structure predictions supported the expected assembly of the D-domain.
PMC13148993	10.1038/s41586-026-10256-6	Nature	2026	False	Protein structural modelling The structures and binding interfaces of the protein complexes were generated using AlphaFold3 (ref.
PMC13171607	10.1038/s41586-026-10248-6	Nature	2026	False	For model building, the AlphaFold3-predicted model and the cryo-EM structure of Mich15 H1 (PDB: 7KNA ) were used as the initial models for HK14 H3 and Mich15 H1, respectively.
PMC13171623	10.1038/s41586-026-10211-5	Nature	2026	False	The initial RNA models for 26S-UG, 26S-GU and pre-mir-517a_GU were generated using AlphaFold3 for three-dimensional (3D) RNA structure prediction 41 .
PMC13128491	10.1038/s41586-026-10176-5	Nature	2026	False	AlphaFold 3 (AF3) structure predictions with feature activations overlaid, of EF–Tu in complex with the tRNA (left) and of RpoB and RpoC in complex (right). e , A feature in the human genome with preferential activation immediately after frameshift mutations over other less deleterious mutation types. f , Features with activation on DNA motifs in the human genome that correspond to transcription f...
PMC13190303	10.1038/s41586-026-10207-1	Nature	2026	False	Mutations were mapped onto the SNIPE structure predicted by AlphaFold3 using UCSF ChimeraX.
PMC13061606	10.1038/s41586-026-10161-y	Nature	2026	False	CLCC1 structure prediction The amino acid sequence 91–360 of human CLCC1 was used to predict the monomer and hexamer structure using AlphaFold3 33 .
PMC13017519	10.1038/s41586-025-10092-0	Nature	2026	False	( d ) AlphaFold 3 models of Ctf13 from S. cerevisiae and H. occidentalis .
PMC12979206	10.1038/s41586-025-10037-7	Nature	2026	False	AlphaFold3 prediction of protein structures To predict protein structures for Streptococcus parasanguinis AbpA or AbpB (bound to human AMY1), the Veillonella sp.
PMC12979207	10.1038/s41586-025-10011-3	Nature	2026	True	AlphaFold-based modelling of protein structures AlphaFold 3 with its implementation in the AlphaFold Server was used to predict the DNA–protein structures 40 .
PMC13102694	10.1038/s41586-026-10156-9	Nature	2026	False	Molecular dynamics simulations The structure of the protein monomer for simulations was predicted by AlphaFold3 (ref.
PMC12851939	10.1038/s41586-025-09852-9	Nature	2026	False	Model building, refinement and figure preparation All models corresponding to the Ba1 Cas12a3 binary, ternary and quaternary complexes were originally generated by AlphaFold3 (ref.
PMC12779559	10.1038/s41586-025-09853-8	Nature	2026	False	AlphaFold3 multimer prediction For each AlphaFold3 protein–protein interaction and docking prediction, the full sequence of proteins was used as input 67 .
PMC7618714	10.1038/s41586-025-09834-x	Nature	2026	False	( d ) AlphaFold3 modeling of the interaction between Pdr3 (residues 86-856, in orange) and the N-terminus of Mge1 (residues 1-60, in green).
PMC12823440	10.1038/s41586-025-09763-9	Nature	2026	False	BLK γ-secretase complex prediction and molecular dynamics simulations The BLK–γ-secretase complex was predicted using AlphaFold3, with template information enabled for γ-secretase 43 .
PMC12804078	10.1038/s41586-025-09749-7	Nature	2026	False	Structural similarity was evaluated by generating protein structure predictions using AlphaFold 3 (ref.
PMC12823453	10.1038/s41586-025-09772-8	Nature	2026	False	The tips of ES6c (690–740) and ES6b (741–800) were built based on AlphaFold3 prediction of 18S rRNA fitting into low-pass-filtered density on the collided 80S and the stable disome reconstructions (Extended Data Fig.
PMC11670232	10.1073/pnas.2401344121	PNAS	2024	False	In human CENP-T, AlphaFold3 predicts similar positions for central α-helices within the Spc24/25 groove, although these helices differ by four amino acids, altering their charge and hydrophobicity ( Fig.
PMC11670116	10.1073/pnas.2409125121	PNAS	2024	False	We used the identified wreath domain of C. prolifera MAFp3 as an input for the AlphaFold3 web server to predict its tertiary structure [cif file of best-performing model as (Supplement ( 42 ))].
PMC11648905	10.1073/pnas.2417845121	PNAS	2024	False	These sequences were subject to three-dimensional structural prediction through AlphaFold 3 ( 36 ) using both the protein sequences and a single Zn 2+ cation per each run.
PMC11621769	10.1073/pnas.2400464121	PNAS	2024	False	To assess the structural impact of KCTD10 C124W mutation, we utilized AlphaFold3 and observed that the structure of the KCTD10 C124W variant did not display significant alterations compared to WT KCTD10.
PMC11573504	10.1073/pnas.2413673121	PNAS	2024	False	AlphaFold 3 Fails to Predict a Complex between ProB and ProA Capable of Channeling GP.
PMC11536152	10.1073/pnas.2414393121	PNAS	2024	False	This region of FLAG was predicted by AlphaFold 3 to form a part of an alpha helix following an unstructured region ( 52 ).
PMC11513930	10.1073/pnas.2403601121	PNAS	2024	False	Prediction of BLOC-1 and BORC Using AlphaFold3.
PMC11474042	10.1073/pnas.2408064121	PNAS	2024	False	Non-native cyclases CotB2 (purple, PDB 4OMG) and SpS (orange, AlphaFold-3 model less 40 disordered residues at the N terminus) cannot dock to the PaFS PT octamer and hence do not engage in substrate channeling.
PMC11348298	10.1073/pnas.2402262121	PNAS	2024	False	( A ) Predicted structural model of Rtt105 by AlphaFold 3.
PMC12772153	10.1073/pnas.2516306122	PNAS	2025	True	AlphaFold Server.
PMC12772222	10.1073/pnas.2523198122	PNAS	2025	False	Molecular dynamics simulations (1 µs) were conducted using GROMACS with the CHARMM36m force field, and structural models were generated with ColabFold and AlphaFold3.
PMC12771567	10.1073/pnas.2425774122	PNAS	2025	False	Constraining AlphaFold3 Predictions with SpARC-Map Data.
PMC12745778	10.1073/pnas.2522515122	PNAS	2025	False	For both SSTR5 structures, an AlphaFold3-predicted atomic model served as the initial reference for receptor modeling ( 36 ).
PMC12745676	10.1073/pnas.2520814122	PNAS	2025	False	( D ) AlphaFold3-based structural comparison of FoxA2 bound to DNA with either 5mC or unmethylated cytosine at position 7.
PMC12718360	10.1073/pnas.2510020122	PNAS	2025	False	Molecular docking was performed into the sphingosine-binding pocket of SPNS1 with AlphaFold 3, suggesting that conserved residues, such as R76 and H427, are involved in sphingosine recognition.
PMC12718326	10.1073/pnas.2523503122	PNAS	2025	False	AlphaFold3 was used to predict the structure of the multimeric Rnf complex from B. theta ( 69 ).
PMC12718390	10.1073/pnas.2527641122	PNAS	2025	False	To determine the specific binding site of LGALSL on vimentin, we generated protein–protein docking models using the AlphaFold 3 server.
PMC12704756	10.1073/pnas.2501226122	PNAS	2025	False	Using AlphaFold3 and SWISS-MODEL, we prepared structural models of Em BioE (BBD33_16475) and Ci BioE (CEQ15_06550).
PMC12704781	10.1073/pnas.2513802122	PNAS	2025	False	Predicted UhpU binding sites from IntaRNA (blue) and AlphaFold3 (green) are shown relative to the UhpU-L +1 site and the mprA start codon (underlined).
PMC12704722	10.1073/pnas.2527592122	PNAS	2025	False	Neither Sequence Analysis Nor AlphaFold3 Currently Provides Reliable Predictions of Nucleotide Specificity.
PMC12704712	10.1073/pnas.2515527122	PNAS	2025	False	...Layer Interferometry (BLI), RNAseq analysis, Immunohistochemistry assays, Cell–cell interaction assay (Cell-Int), and Disulfide bond prediction using AlphaFold3 are detailed in SI Appendix , SI Methods .
PMC12685063	10.1073/pnas.2516650122	PNAS	2025	False	Structural models were generated using AlphaFold3 ( 38 ) and fit into cryo-EM density maps using UCSF ChimeraX ( 51 ).
PMC12685030	10.1073/pnas.2509081122	PNAS	2025	True	The structure of CaRA EGFR in complex with the soluble domain of EGFR in presence of Ca 2+ was predicted using AlphaFold 3 using the AlphaFold Server.
PMC12663950	10.1073/pnas.2511180122	PNAS	2025	False	All structural models were obtained using the AlphaFold3 ( 32 ) web server and visualized using the ChimeraX ( 57 ) software.
PMC12663957	10.1073/pnas.2519643122	PNAS	2025	False	We used AlphaFold3 ( 51 ) with a fixed stoichiometry deduced from the nMS data and cryo-EM structures for comparative structural studies.
PMC12626018	10.1073/pnas.2510124122	PNAS	2025	False	( C ) 3-D structures of GH25 orthologues obtained by AlphaFold 3 and visualized by pyMOL, showing active site motif (yellow) in the center.
PMC12625923	10.1073/pnas.2427161122	PNAS	2025	False	We evaluated PLACER’s docking performance against AlphaFold3 ( 12 ) and RF All-Atom ( 11 ) using the 428 protein–ligand complexes from the PoseBusters benchmark (as implemented in the 2023 preprint) ( 26 ).
PMC12582321	10.1073/pnas.2519372122	PNAS	2025	False	Structures of FF and FcoR proteins were predicted using AlphaFold2 ( 71 ) and AlphaFold3 ( 31 ).
PMC12582261	10.1073/pnas.2505807122	PNAS	2025	False	( D ) AlphaFold3 model of the C-terminal BECR domain of AbpT Sa overlaid with the RelE ribonuclease (PDB 3BPQ).
PMC12557536	10.1073/pnas.2503166122	PNAS	2025	False	We refer to these regions as membrane linkers, which AlphaFold 3 ( 28 ) predicts to be unstructured ( SI Appendix , Fig.
PMC12557800	10.1073/pnas.2513924122	PNAS	2025	False	( E , Top ) AlphaFold3 3D structural prediction of the mouse TMEM217–SLC9C1 complex.
PMC12557735	10.1073/pnas.2513255122	PNAS	2025	False	See SI Appendix for methods on measurements of bacterial liquid-growth measurements, fluorescence levels with flow cytometry, western blot analysis, RNA extraction and sequencing, and protein structure prediction with AlphaFold3.
PMC12541436	10.1073/pnas.2505128122	PNAS	2025	False	To model the full-length Trim69 protein, including its Zn cofactors, we used AlphaFold 3.0, which revealed the three-dimensional organization of the individual domains ( SI Appendix, Fig.S2 A and B ).
PMC12541338	10.1073/pnas.2505698122	PNAS	2025	False	...complementation assays, protoplast isolation and transfection, protein extraction and western blot, RNA isolation and quantitative real-time PCR, and AlphaFold3 predictions can be found in SI Appendix , Supplementary Materials and Methods , some of which are similar to those described previously ( 67 ).
PMC12541409	10.1073/pnas.2514354122	PNAS	2025	False	To distinguish between an interaction dependent on the physical properties of the R172 residue and its PIP binding capacity, we first performed a structural in silico analysis using AlphaFold3.
PMC12541434	10.1073/pnas.2513207122	PNAS	2025	False	Structural alignments revealed strong agreement between the cryo-EM reconstruction, the crystal structures of BteO 83–end and BtiO 23–end , and an AlphaFold3-predicted model of the BteO 83–end –BtiO 23–end complex, with RMSDs under 1.8 Å across all comparisons ( SI Appendix , Fig.
PMC12541321	10.1073/pnas.2503134122	PNAS	2025	False	Predicted structures by AlphaFold-3 (AF3) ( 37 ) were confident but likely incorrect for 4/5 TM sequences, adopting low contact density parallel-oriented helices ( SI Appendix , Fig.
PMC12541429	10.1073/pnas.2510243122	PNAS	2025	False	( C ) Binding prediction for EFCAB10 with AK8 by AlphaFold3.
PMC12501140	10.1073/pnas.2512820122	PNAS	2025	False	The structure of the protein complexes was predicted by AlphaFold 3 ( 67 ).
PMC12501181	10.1073/pnas.2512274122	PNAS	2025	False	Structural modeling using AlphaFold 3 revealed the molecular basis for SnRK2s–PID antagonism.
PMC12501162	10.1073/pnas.2516300122	PNAS	2025	False	The IcmX model was predicted using AlphaFold3 ( 58 ) as an initial template.
PMC12478159	10.1073/pnas.2425622122	PNAS	2025	False	Deep learning structure prediction using AlphaFold3 (AF3) ( 43 ) was used to further understand the potential direct physical interactions between gpUL141 and gH or gB.
PMC12478178	10.1073/pnas.2512430122	PNAS	2025	False	Initial structural models for PHB1 and PHB2 were generated using AlphaFold3 and rigidly fitted into the cryo-EM density map using ChimeraX ( 51 ).
PMC12478036	10.1073/pnas.2507028122	PNAS	2025	False	Furthermore, we employed AlphaFold3 to predict the structures of RIPK1, RIPK3, and RIPK1/RIPK3 RHIM fibrils ( SI Appendix , Fig.
PMC12478041	10.1073/pnas.2505388122	PNAS	2025	False	To predict the structure of the DdbC/DdbD complex, AlphaFold3 was used with default parameters ( 38 ).
PMC12452952	10.1073/pnas.2417753122	PNAS	2025	False	Further, the structure of full-length wild-type hP2X2R in the apo closed state establishes the correct helical pitch of each TM helix, not present in either truncated structures of other P2XR subtypes or the AlphaFold 3 predicted model of the hP2X2R ( SI Appendix , Figs.
PMC12452912	10.1073/pnas.2510007122	PNAS	2025	False	Details of the Bioinformatic analysis, protein purification, AlphaFold3 structure predictions, biochemical assays, and genetic assays are provided as an SI Appendix .
PMC12435199	10.1073/pnas.2511911122	PNAS	2025	False	( C ) The protein structure of RRV VP4 ( P12473 ) was predicted by AlphaFold 3 and V184 was squared in red.
PMC12415280	10.1073/pnas.2506440122	PNAS	2025	False	Detailed procedures for cryo-EM sample preparation, data collection and processing, model building and refinement, XAS, ATPase assays, inductively coupled plasma-mass spectroscopy, and AlphaFold 3 modeling are available in the SI Appendix , Materials and Methods .
PMC12415208	10.1073/pnas.2508912122	PNAS	2025	False	We analyzed the structure of the GPAT/CHP1 complexes using AlphaFold3 ( 10 ).
PMC12415229	10.1073/pnas.2509146122	PNAS	2025	False	Structural modeling using AlphaFold 3.0 ( 33 ) suggested that TnpB* closely resembles ISDra2 TnpB, with TM-score > 0.5 and RMSD value around 1.3 to 1.5 Å, supporting their structural similarity ( Fig.
PMC12415202	10.1073/pnas.2508950122	PNAS	2025	False	Comparison with the molecular docking of L-lactate to the AlphaFold 3 ( 28 ) model of K1 LBD ( Fig.
PMC12403154	10.1073/pnas.2513552122	PNAS	2025	False	At the outset of this study, there were no available structures of the CTD of MHV or any other Embecovirus, but high-confidence structural predictions recently became accessible through the introduction of AlphaFold 3 ( 54 ).
PMC12337332	10.1073/pnas.2511890122	PNAS	2025	False	To build models that fit the EM density maps for each class, AlphaFold3 was used to generate an initial protein model of 12 prohibitin 1-2 dimers which was then relaxed into either EM density map using ISOLDE ( https://isolde.cimr.cam.ac.uk/ ), (RRID:SCR_025577) ( 54 ) and PHENIX ( https://phenix-online.org/ ), (RRID:SCR_014224) ( 55 ).
PMC12337344	10.1073/pnas.2504208122	PNAS	2025	True	The RT3a plug was not predicted by any folding prediction program, including the most recent version of AlphaFold (AlphaFold 3.0, https://alphafoldserver.com/ ), indicating that it was beyond the imagination of AI.
PMC12318192	10.1073/pnas.2510269122	PNAS	2025	False	Thus, we predicted the structural model of the full-length human HERC2 using AlphaFold3 ( 60 ).
PMC12305020	10.1073/pnas.2507279122	PNAS	2025	False	The TOM holo model was generated using a combination of the previous core model and AlphaFold3 ( 26 ) to generate coordinates for the Tom20 subunit.
PMC12232670	10.1073/pnas.2425129122	PNAS	2025	False	(Scale bar, 10 µm.) ( G ) AlphaFold3-predicted ARC3–ARC6 interaction (ipTM 0.51, pTM 0.47, min interface PAE 4.05 Å).
PMC12232559	10.1073/pnas.2506584122	PNAS	2025	False	A model of AsDMS generated with AlphaFold 3 revealed that the first 10 residues at the N terminus had a low predicted local distance difference test score, which reflected low confidence in the model prediction ( 51 ).
PMC12207491	10.1073/pnas.2426339122	PNAS	2025	False	To better understand the nature of the putative interaction between EBNA-LP and Sp140L and Sp100, we used AlphaFold3 to predict the structure of a complex between these proteins ( 56 ).
PMC12184330	10.1073/pnas.2421325122	PNAS	2025	False	These configurations were further validated by simulated AFM images from AlphaFold3 models and were consistent with experimental HS-AFM images of both free and HBx complexed with DDB1 ( SI Appendix , Fig.
PMC12184435	10.1073/pnas.2427053122	PNAS	2025	False	Prediction of the Tud–Aub–piRt00104691 Complex Using AlphaFold3.
PMC12167987	10.1073/pnas.2507874122	PNAS	2025	False	AlphaFold3 structural modeling ( https://alphafold3.org/ ) corroborated canonical histidine kinase architecture ( SI Appendix , Fig.
PMC12167996	10.1073/pnas.2424678122	PNAS	2025	False	Such a structure is predicted by AlphaFold 3 for a homodimer of the EGFR transmembrane and juxtamembrane regions ( SI Appendix , Fig.
PMC12146746	10.1073/pnas.2500825122	PNAS	2025	False	All models apart from AncD1D2 are AlphaFold 3 predictions ( 39 ).
PMC12130881	10.1073/pnas.2414606122	PNAS	2025	False	2 B on the top scoring AlphaFold 3 model of pAF-1 bound to Pin1 reveals the extent to which regions of AF-1 distal to the canonical pS112 binding site of Pin1 engage with the isomerase ( Fig.
PMC12107084	10.1073/pnas.2411600122	PNAS	2025	False	Human IgG Fc allotype amino acid sequences were individually input into AlphaFold 3 (Google DeepMind, Isomorphic Labs) with a “protein” molecule type and a copy number of 2 ( 34 ).
PMC12107144	10.1073/pnas.2505498122	PNAS	2025	False	To identify the BDAA binding site (pocket) on NS4B, the 3D structure of YFV NS4B was predicted using the AlphaFold 3 program ( 29 ).
PMC12107170	10.1073/pnas.2420308122	PNAS	2025	False	AlphaFold3 was used to predict the local disulfide-bridged structure around the cystine knot ( 67 ).
PMC12088394	10.1073/pnas.2500356122	PNAS	2025	True	In the protein tertiary structure prediction section, we employed the AlphaFold3 prediction platform ( https://alphafoldserver.com/ ) to predict the structures of both WT and mutant proteins.
PMC12054838	10.1073/pnas.2421632122	PNAS	2025	False	AlphaFold3 ( 40 ) was used to predict the structures of the FlgY homodimer ( SI Appendix, Fig.
PMC12036975	10.1073/pnas.2500366122	PNAS	2025	False	Structural Prediction with AlphaFold3.
PMC12037065	10.1073/pnas.2422720122	PNAS	2025	False	We used AlphaFold3 ( 44 ) to model MRE11 phosphorylation by ATM and ATR ( SI Appendix , Fig.
PMC12012489	10.1073/pnas.2414731122	PNAS	2025	True	The structures of TBB-4 and TBA-5 tubulin binding to Mg 2+ -GTP predicted by AlphaFold 3 ( www.alphafoldserver.com ) ( 53 ) were used as alpha- and beta-tubulin.
PMC12002350	10.1073/pnas.2423205122	PNAS	2025	False	( C and D ) Comparison of AcrIE7 crystal structure with AlphaFold2 (AF2) and AlphaFold3 (AF3) prediction.
PMC12002240	10.1073/pnas.2426929122	PNAS	2025	True	The complex structures of the lipid-binding domains and pseudoligand were predicted using the AlphaFold 3 algorithm ( 65 ) via the AlphaFold server.
PMC11962455	10.1073/pnas.2502034122	PNAS	2025	False	Additionally, structural models of NfPixJ and NfSrr1 were predicted using AlphaFold3 ( https://golgi.sandbox.google.com/ ) ( Fig.
PMC11962513	10.1073/pnas.2414490122	PNAS	2025	False	The structure of NuA4 fused with the SNAP tag was predicted using AlphaFold3 ( 42 ).
PMC11962472	10.1073/pnas.2423858122	PNAS	2025	False	Using AlphaFold3 ( 48 ), we generated a model of the quaternary complex of B h a B C T r p , tRNA Trp , BhaA-Ala, and ATP providing a three-dimensional perspective of peptide substrate and tRNA engagement by the enzyme.
PMC11962477	10.1073/pnas.2416282122	PNAS	2025	False	Protein structures were predicted using AlphaFold3.
PMC11912384	10.1073/pnas.2426324122	PNAS	2025	False	AlphaFold3 and Structure Visualization.
PMC11912386	10.1073/pnas.2417943122	PNAS	2025	False	We predicted the structure of the TEX38–ZDHHC19 heterodimer by AlphaFold3 ( Fig.
PMC11848303	10.1073/pnas.2412117122	PNAS	2025	False	2 D , the two states of SSPs were predicted by AlphaFold3 ( 40 ).
PMC11848400	10.1073/pnas.2418693122	PNAS	2025	False	( G ) AlphaFold3 prediction and docking analysis of PRDM9 interact with one nucleosome H4 histone at lysine 8 sites.
PMC11831128	10.1073/pnas.2422582122	PNAS	2025	False	Regarding the increased interactions between Atg9 3D and Atg proteins upon glucose starvation or DNA damage, while these interactions do not increase in Atg9 3A or mec1-85 cells, we attempted to use AlphaFold3 software to understand the role of Atg9 phosphorylation in promoting interactions with Atg17, Atg23, and Atg27 ( 26 ).
PMC11831168	10.1073/pnas.2416927122	PNAS	2025	False	Meanwhile, the interactions between LIP1 and VAP27-1 have been further validated by AlphaFold3 protein docking prediction ( 58 ) ( SI Appendix , Fig.
PMC11804677	10.1073/pnas.2413308122	PNAS	2025	False	Modeling of Ca V 1.2 Interaction with 14-3-3 Using AlphaFold 3 (AF3).
PMC11761967	10.1073/pnas.2413037121	PNAS	2025	False	Using AlphaFold 3 (AF3), we performed structure modeling of AMT6 and AMT7 apo-complexes (without DNA substrate) ( Fig.
PMC11761970	10.1073/pnas.2413131122	PNAS	2025	False	To analyze the substrate pocket in the classical insect-type PPO1 from An. gambiae (Ang-PPO1), we utilized the AlphaFold 3 server to predict its structural model.
PMC11725904	10.1073/pnas.2416301121	PNAS	2025	False	Another study earmarked for immediate future work is to analyze the distribution of conformational angles of protein structures not determined by experimental methods but predicted using programs such as AlphaFold 3 ( 22 ).
PMC11725880	10.1073/pnas.2416284121	PNAS	2025	False	Finally, the ET driving force, reorganization energy, and reduction potentials were calculated using the Marcus theory by bringing in the above kinetics parameters and ET distances obtained from the protein structure predicted by AlphaFold3.
PMC11725902	10.1073/pnas.2413127122	PNAS	2025	False	Furthermore, we employed AlphaFold3 to predict the protein structures of PsTIP60, PsTIP60 S322A , and PsTIP60 S322D .
PMC13291599	10.1073/pnas.2610619123	PNAS	2026	False	For AlphaFold3, we use the reported latency of 22 s per pair (up to 1024 tokens) on 16 A100 GPU (excluding MSA construction time) ( 39 ).
PMC13291597	10.1073/pnas.2529211123	PNAS	2026	False	AlphaFold3-based structural modeling ( 73 ) and phylogenetic analysis ( 74 – 76 ) were used to examine structural features and evolutionary relationships.
PMC13291671	10.1073/pnas.2534981123	PNAS	2026	False	The predicted structural models for Rickettsia TyrB and B. tabaci GOT2 ( Bt GOT2) were generated by the AlphaFold 3 webserver ( 47 ), with details in SI Appendix , Materials and Methods .
PMC13273323	10.1073/pnas.2607573123	PNAS	2026	False	The initial model of PCDH15 EC1-7 was predicted using AlphaFold3 ( 14 ).
PMC13268366	10.1073/pnas.2536870123	PNAS	2026	False	Although an atomic model of the complex could not be built due to low resolution of the EM density (5.2 Å) ( Table S2 ), we predicted the RBD epitope of this mAb by docking an AlphaFold 3 ( 61 ) model of Fab and Spike RBD into the density, which showed three Fabs interacting with RBDs in “up” conformations ( fig.
PMC13273273	10.1073/pnas.2524065123	PNAS	2026	False	Using AlphaFold3 ( 61 ), we predicted that Spn interacts extensively with the most abundant Drosophila PP1 subtype ( SI Appendix , Fig.
PMC13229280	10.1073/pnas.2604770123	PNAS	2026	False	( C ) AlphaFold 3 model of the hs ART1:NAD + : hs P2X7 complex, hs ART1 colored in red, hs P2X7 homotrimer colored in green, and NAD + is colored in white.
PMC13229195	10.1073/pnas.2522073123	PNAS	2026	False	Beyond prediction, AI is instrumental in deciphering the complex cis-regulatory codes and underlying gene regulatory mechanisms ( 97 ), predicting protein structures with high accuracy [e.g., AlphaFold3 ( 98 )], and assisting in the design phase of synthetic biology applications ( 94 ).
PMC13142991	10.1073/pnas.2533456123	PNAS	2026	False	From the 101 MBs, 17 MBs were selected for expression and purification based on AlphaFold 3 metrics ipTM (>0.7) and pTM (>0.8) values and visual assessment of the MB, PDCoV IL121_2014 RBD binding interface from the AF3 predicted structure.
PMC13142998	10.1073/pnas.2525505123	PNAS	2026	False	( A ) Structure of CTLA-4 predicted by AlphaFold 3.
PMC13123921	10.1073/pnas.2601242123	PNAS	2026	False	( D ) Arabidopsis PMF1 protein structure predicted by AlphaFold3 and modeled in PyMOL3.0, with coloring based on pLDDT value predicted by AlphaFold.
